iter	Passed	Remaining
978	6028	129
979	6035	123
980	6041	117
981	6047	110
982	6053	104
983	6059	98
984	6065	92
985	6070	86
986	6076	80
987	6082	73
988	6087	67
989	6093	61
990	6099	55
991	6105	49
992	6111	43
993	6118	36
994	6124	30
995	6130	24
996	6135	18
997	6141	12
998	6148	6
999	6154	0
